index,time,duration / s,Lat,Lon,temperature / C,pressure / hPa,humidity / %,CO2 / ppm,SO2 / ppm,CO2 / ppm_smooth_9_3,SO2 / ppm_smooth_9_3,CO2 / ppm_smooth_9_3_rt_corrected_40,SO2 / ppm_smooth_9_3_rt_corrected_8,CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11,CO2 / ppm_smooth_9_3_staticerror_0.00364_6.3,SO2 / ppm_smooth_9_3_staticerror_0.0323_0.26,CO2 / ppm_smooth_9_3_staticerror_0.00364_6.3_with_complete_rt_error,SO2 / ppm_smooth_9_3_staticerror_0.0323_0.26_with_complete_rt_error,CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_smooth_9_3,SO2 / ppm_smooth_9_3_rt_corrected_8_smooth_9_3,ratio_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_SO2 / ppm_smooth_9_3_rt_corrected_8,ratio_error_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_CO2 / ppm_smooth_9_3_staticerror_0.00364_6.3_with_complete_rt_error_SO2 / ppm_smooth_9_3_rt_corrected_8_SO2 / ppm_smooth_9_3_staticerror_0.0323_0.26_with_complete_rt_error_420,ratio_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_smooth_9_3_SO2 / ppm_smooth_9_3_rt_corrected_8_smooth_9_3,ratio_error_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_smooth_9_3_CO2 / ppm_smooth_9_3_staticerror_0.00364_6.3_with_complete_rt_error_SO2 / ppm_smooth_9_3_rt_corrected_8_smooth_9_3_SO2 / ppm_smooth_9_3_staticerror_0.0323_0.26_with_complete_rt_error_420,ratio_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_SO2 / ppm_smooth_9_3,ratio_error_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_CO2 / ppm_smooth_9_3_staticerror_0.00364_6.3_with_complete_rt_error_SO2 / ppm_smooth_9_3_SO2 / ppm_smooth_9_3_staticerror_0.0323_0.26_420,ratio_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_smooth_9_3_SO2 / ppm_smooth_9_3,ratio_error_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_smooth_9_3_CO2 / ppm_smooth_9_3_staticerror_0.00364_6.3_with_complete_rt_error_SO2 / ppm_smooth_9_3_SO2 / ppm_smooth_9_3_staticerror_0.0323_0.26_420,ratio_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_smooth_9_3_SO2 / ppm_smooth_9_3_rt_corrected_8_smooth_9_3_corrected,ratio_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_SO2 / ppm_smooth_9_3_rt_corrected_8_corrected,ratio_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_SO2 / ppm_smooth_9_3_corrected,ratio_CO2 / ppm_smooth_9_3_rt_corrected_40_shifted_11_smooth_9_3_SO2 / ppm_smooth_9_3_ratioscorrected
0,18:17:33,0,38.415175,14.95334,16.91,1022.15,35.44,517.6605177,0.523809524,517.5160731181815,0.4561188969696969,470.7160252090922,0.7277944899393912,0.0,20.78375850615018,0.7947326403721212,24.29376209933187,0.8966109877357566,46.1107980742889,0.6772843102444757,-577.0859848567643,33.379975302306825,-552.0417294042296,97.00439495539062,-920.8125398669976,53.261906622881874,-819.7187277477591,184.0203715379969,,,,
1,18:17:35,2,38.41517167,14.95333667,18.18,1022.17,33.71,514.8005148,0.384180791,515.176070722727,0.5240377952121205,481.4998461426415,0.5284611359134188,0.0,20.775240897430724,0.7969264207853515,23.30095774093714,0.7985851735483384,-46.1507756681354,0.6025713377320147,-794.7604307250539,44.09209335831781,-773.6026366980129,108.62033414962472,-801.4689089934668,44.46426947412325,-889.5365561933305,141.11637780811267,,,,
2,18:17:37,4,38.41517,14.95333667,18.4,1022.15,33.34,513.8471805,0.577885391,513.4922594937227,0.525143630387445,490.05096627294665,0.3223990160324677,0.0,20.76911182455715,0.7969621392615145,22.527208816115355,0.872991369644631,-62.5994501249833,0.390443189558645,-1302.7335044896763,69.87368973187783,-1236.0298835549197,363.0932376779793,-799.7811945088789,42.89723327596116,-918.9856302149698,185.92204746601087,,,,
3,18:17:39,6,38.41516833,14.95333167,18.73,1022.18,32.89,511.9405119,0.405972559,512.3201948326839,0.4744574767987007,496.2249410015015,0.1246292045995663,0.0,20.76484550919097,0.7953249765005981,21.97198954652965,0.9265105785752734,-18.60427545745774,0.1133437326685922,-3369.9966340109463,176.2988828912586,-3869.682647031757,1355.6707067486311,-885.2215857864844,46.30971292681675,-924.4332672694828,80.40525918691462,,,,
4,18:17:41,8,38.41516333,14.95333,18.87,1022.07,32.46,511.9405119,0.547215496,511.5154321411248,0.3870004087489171,500.3725642103913,0.1879850038658005,0.0,20.761916172993693,0.7925001132025901,21.597631267798704,0.8671308900337588,70.46569817323861,-0.156283165993918,-2234.220769545167,114.8901817892714,2236.544797411924,2505.5301262623298,-1085.2701715684564,55.80777378922895,-903.1884564585476,377.0205524512133,,,,
5,18:17:43,10,38.41516333,14.95332833,18.91,1022.05,32.32,510.9871777,0.371267151,510.9582887445881,0.337246557528138,496.6789096536777,-0.7097505669740247,0.0,20.759888171030298,0.7908930638081589,21.83084160284858,1.18351698549647,189.1975244574964,-0.288179093817122,591.7571884312015,30.75847011425852,800.8994423758252,2697.344057444886,-1245.3796506579831,64.73258544982222,-684.3731103860022,1317.2348536574525,,,,
6,18:17:45,12,38.41516333,14.95333,18.79,1022.22,32.46,510.0338434,-0.144471348,510.2443197900426,0.0754972764025973,498.35859379004216,-0.3078449672337655,509.7738431363613,20.75728932403576,0.7824385620278039,21.648718774035792,0.92619190339144,318.8816272057839,-0.2274765715462877,-291.62030467170354,4982.618905695516,444.5221418050087,5708.440681153632,1189.100420757335,69979.18350227649,-1339.3645123698443,43775.034037642654,,,,
7,18:17:47,14,38.41516333,14.95332833,18.79,1022.19,32.51,510.0338434,0.209039548,509.6500334900426,-0.0203382845064934,495.9484324164483,-0.1661617907229434,506.3938397090917,20.75512612190376,0.7793430734104403,21.78274620242333,0.8340268882416091,437.5510126928584,-0.0912124145333386,-519.9380635777089,15297.557188585974,-192.41912170238007,43863.903506545816,-4247.843011612349,954088.6530301078,-862.9544289861277,824383.143862828,,,,
8,18:17:49,16,38.41516667,14.95332333,18.5,1021.97,32.63,509.0805091,-0.044390638,508.96495343636286,-0.0567941610606059,500.21573803376566,0.2834327357878781,509.1960647727255,20.75263243050836,0.7781655485977425,21.40882358570315,0.905750634915924,524.2395086411575,0.1470065032880564,314.6992337521665,5741.577790423635,709.0809339019662,21972.26556806185,-1570.5146991702727,122843.36530361474,-1835.3912918956928,126472.55697865332,,,,
9,18:17:51,18,38.41516667,14.95332333,18.43,1022.16,32.82,508.1271748,-0.517352704,508.527492666233,0.0282625631515151,502.58462949740215,0.6659923338528128,509.5840016740248,20.751040073305088,0.7809128807897939,21.1967548109674,1.0200615448027806,556.7420602739285,0.5297862807546505,134.51206135628473,1172.367575752765,258.1079677622968,2023.78270793514,3169.7054932267315,498190.8787490945,4838.275266855901,544294.4918672082,,,,
